,Paper,Year,SemanticScholarID,Journal (O),Reproduced,0_YearsLater,1_YearsLater,2_YearsLater,3_YearsLater,4_YearsLater,5_YearsLater,6_YearsLater,7_YearsLater,8_YearsLater,9_YearsLater,10_YearsLater,11_YearsLater
10,A comparison of balloonexpandable-stent implantation with balloon angioplasty in patients with coronary artery disease,1994,61d8754cf434e67c43df6131f3ce2a2381e540cd,NEJM,0,12,82,196,293,311,301,323,291,262,215,271,223
11,The National Institute of Neurological Disorders and Stroke rt-PA Stroke Study Group. Tissue plasminogen activator for acute ischemic stroke,1995,9e9deeb745df18e188c8086c2322d5c176c42792,NEJM,0,4,50,140,176,246,222,269,265,275,314,325,349
12,Executive Committee for the Asymptomatic Carotid Atherosclerosis Study. Endarterectomy for asymptomatic carotid artery stenosis,1995,9678236906e5314b1a297200f1ecd37b1667a8e8,JAMA,0,1,1,4,4,2,7,12,5,14,21,20,30
13,Dietary antioxidant flavonoids and risk of coronary heart disease: the Zutphen Elderly Study.,1993,bc8ade72c0313465635dddcaa2d9bbc4643fc8ea,Lancet,0,0,21,38,77,98,113,155,184,170,187,170,184
14,Regression of coronary artery disease as a result of intensive lipidlowering therapy in men with high levels of apolipoprotein B,1990,00ac4c81b3933dd6e81ab6611ab2f5aa574aba5d,NEJM,1,4,73,124,163,125,141,110,91,99,73,74,89
15,Levamisole and fluorouracil for adjuvant therapy of resected colon carcinoma,1990,64811a259d3301223a7d7e6409c77cc833bcb570,NEJM,1,12,47,64,68,66,70,57,65,51,49,61,59
16,North American Symptomatic Carotid Endarterectomy Trial Collaborators. Beneficial effect of carotid endarterectomy in symptomatic patients with highgrade carotid stenosis,1991,96850cbcaaf03cd54abe734ce038769848e952c9,NEJM,1,7,50,101,133,158,184,208,271,238,266,275,250
17,Effect of enalapril on survival in patients with reduced left ventricular ejection fractions and congestive heart failure,1991,bc20b0d8037780f976453089b84dc40c19e5958a,NEJM,1,15,92,166,147,214,231,264,311,333,387,377,311
18,Effect of captopril on mortality and morbidity in patients with left ventricular dysfunction after,1992,8d44b59864837a8212cce4e1a2332b715279b49c,NEJM,1,15,134,169,219,236,245,280,262,325,266,262,267
19,Use of a monoclonal antibody directed against the platelet glycoprotein IIb/ IIIa receptor in high-risk coronary angioplasty,1994,2393c17e7120fe991444f33b4a36a05563aab4c3,NEJM,1,21,71,108,176,213,247,218,227,182,132,164,108
20,Prevention of coronary heart disease with pravastatin in men with hypercholesterolemia,1995,1aa5f64bbe1d0c4c74fc3de7c89ac2dffb48630a,NEJM,1,7,144,215,296,296,349,403,400,377,398,354,351
21,The effect of pravastatin on coronary events after myocardial infarction in patients with average cholesterol levels,1996,ec0b08ff62590db27b782efbbef6582c14cf38c2,NEJM,1,18,140,317,295,423,459,466,483,512,495,421,340
22,The effect of carvedilol on morbidity and mortality in patients with chronic heart failure,1996,9fdbcdf8d92d68f4967732e5f6664dd208c8b139,NEJM,1,27,101,168,194,262,286,214,260,288,191,217,180
23,A controlled trial of two nucleoside analogues plus indinavir in persons with human immunodeficiency virus infection and CD4 cell counts of 200 per cubic millimeter or less,1997,b6fa296426f3ff5bda5577a2277c4e2f60109b8d,NEJM,1,17,172,258,270,229,177,142,145,112,121,109,81
24,Platelet glycoprotein IIb/IIIa receptor blockade and low-dose heparin during percutaneous coronary revascularization,1997,ad863afe4e81df59829b8f982c30cc37e768ed2e,NEJM,1,22,147,189,192,200,184,148,159,102,81,63,67
25,Interferon alfa-2b alone or in combination with ribavirin as initial treatment for chronic hepatitis C,1998,6ac96efec0534d3dc52ae203d3ac58657deba51b,NEJM,1,10,112,265,314,320,321,322,254,219,173,144,161
26,Prevention of cardiovascular events and death with pravastatin in patients with coronary heart disease and a broad range of initial cholesterol levels,1998,3b675c023e3851db74ca1e2c4acb9d200807aad3,NEJM,1,8,136,300,382,399,426,457,411,366,294,266,203
27,Prevention of stroke by antihypertensive drug treatment in older persons with isolated systolic hypertension: final results of the Systolic Hypertension in the Elderly Program,1991,ef8a57b3ccc92e46a9d267148532e5016f3d367c,JAMA,1,7,11,31,30,12,26,30,58,50,66,83,88
28,Primary prevention of acute coronary events with lovastatin in men and women with average cholesterol levels: results of AFCAPS/TexCAPS,1998,ce6185fcbd64726b7cb7cc5d4c0527927452ee27,JAMA,1,50,170,321,358,422,411,418,384,340,298,256,222
29,Randomised trial of cholesterol lowering in 4444 patients with coronary heart disease: the Scandinavian Simvastatin Survival Study (4S),1994,beb47178722e5ce5418f8597241686d1e9a75d3c,Lancet,1,0,0,1,0,0,0,0,0,499,516,560,554
30,. Randomised trial of interferon alpha-2b plus ribavirin for 48 weeks or for 24 weeks vs interferon alpha-2b plus placebo for 48 weeks for treatment of chronic infection with hepatitis C virus,1998,9049cb5dff180fb6d140b01e7a30635f4a42babe,Lancet,1,8,77,186,224,240,211,215,171,176,121,99,102
31,The Cardiac Insufficiency Bisoprolol Study II (CIBISII): a randomised trial,1999,2be206cfcb724ea659e0d6cbfb4aaeff25bc7227,Lancet,1,86,276,303,216,273,277,242,219,174,141,157,145
32,"Alltrans-retinoic acid as a differentiation therapy for acute promyelocytic leukemia, 1: clinical results",1990,9cc2e2384d96bbce5b94364b1a83cb0f2bcd76a9,Blood,1,4,37,75,82,72,51,84,73,66,69,54,47
33,Tamoxifen for prevention of breast cancer: report of the National Surgical Adjuvant Breast and Bowel Project P-1 Study,1998,91245acb047f3fe6a7668bba8adae111e5dc1034,JNCI,1,13,177,306,354,367,346,380,355,302,281,240,203
